iter	Passed	Remaining
0	3	792
1	6	614
2	8	546
3	10	502
4	12	476
5	15	489
6	18	500
7	20	489
8	22	474
9	24	472
10	26	463
11	28	453
12	31	452
13	33	449
14	35	440
15	37	433
16	39	427
17	41	421
18	43	414
19	45	412
20	49	418
21	51	413
22	53	409
23	55	404
24	57	399
25	58	394
26	60	390
27	63	388
28	65	386
29	67	382
30	69	378
31	71	374
32	73	370
33	75	367
34	77	364
35	79	362
36	81	359
37	83	355
38	85	352
39	87	348
40	89	345
41	91	343
42	94	344
43	96	342
44	98	339
45	100	336
46	102	333
47	104	331
48	106	329
49	109	327
50	111	325
51	113	322
52	115	319
53	117	316
54	119	314
55	122	316
56	126	318
57	129	316
58	131	313
59	133	311
60	135	309
61	138	307
62	140	305
63	143	304
64	145	303
65	148	301
66	150	298
67	152	295
68	153	292
69	156	290
70	158	288
71	160	285
72	162	282
73	164	280
74	166	277
75	168	274
76	170	272
77	173	271
78	175	269
79	177	266
80	179	263
81	181	260
82	183	258
83	186	257
84	189	256
85	192	254
86	194	252
87	195	249
88	197	246
89	199	244
90	202	242
91	205	241
92	208	239
93	210	237
94	212	234
95	214	232
96	216	229
97	219	228
98	221	226
99	223	223
100	225	220
101	227	218
102	229	216
103	231	213
104	233	211
105	236	209
106	238	207
107	240	204
108	242	202
109	244	199
110	246	197
111	248	194
112	250	193
113	253	191
114	255	188
115	257	186
116	259	184
117	262	182
118	265	180
119	267	178
120	269	175
121	271	173
122	273	171
123	275	168
124	277	166
125	280	164
126	282	162
127	285	160
128	287	158
129	289	155
130	291	153
131	293	151
132	295	148
133	298	147
134	300	144
135	302	142
136	304	140
137	306	137
138	308	135
139	310	133
140	312	130
141	315	128
142	317	126
143	319	124
144	321	121
145	322	119
146	324	117
147	326	114
148	328	112
149	330	110
150	332	107
151	334	105
152	336	103
153	338	101
154	340	98
155	346	97
156	348	95
157	352	93
158	356	91
159	363	90
160	365	88
161	368	86
162	371	84
163	375	82
164	378	80
165	379	77
166	382	75
167	384	73
168	387	71
169	389	68
170	393	66
171	395	64
172	397	61
173	399	59
174	401	57
175	403	54
176	405	52
177	407	50
178	409	48
179	411	45
180	413	43
181	415	41
182	417	38
183	419	36
184	421	34
185	423	31
186	425	29
187	427	27
188	429	24
189	431	22
190	433	20
191	435	18
192	436	15
193	439	13
194	442	11
195	443	9
196	445	6
197	447	4
198	449	2
199	451	0
